award_id,award_cat_id,award_name,award_desc,award_icon_url,award_img_url,award_displayorder,award_allowrequest,award_active,award_allowrecommend,award_pointvalue
160,3,Call of Duty - Answered The Call,Rotated to members who participate in the major quarterly event.,/forums/images/awards/cod-answered.png,/forums/images/awards/cod-answered.png,283,0,1,0,0
170,3,Call of Duty - Member of the Quarter,Rotated quarterly to all members awarded Member of the Quarter,/forums/images/awards/cod-quarter.png,/forums/images/awards/cod-quarter.png,283,0,1,0,0
171,3,Call of Duty - Second to None,"Awarded to the winners of our regular monthly events. Currently includes Killathon, Plunderthon, and the Outbreak Events",/forums/images/awards/cod-second-to-none.png,/forums/images/awards/cod-second-to-none.png,285,0,1,0,0
172,3,Call of Duty - Certified Badass,Awarded to participating members of the winning platoon during our annual Platoon Wars event,/forums/images/awards/cod-platoon.png,/forums/images/awards/cod-platoon.png,286,0,1,0,0
179,3,War Thunder - Super Squad,Reward given out in Super Squad Saturday events for MVP or winner of competitive match.,/forums/images/awards/wt-super-squad.png,/forums/images/awards/wt-super-squad.png,1307,0,1,0,0
180,3,War Thunder - Level 100,Members who have reached level 100 in War Thunder.,/forums/images/awards/wt-level100.png,/forums/images/awards/wt-level100.png,1305,0,1,0,0
182,3,World of Warships - Campaign Master,"Awarded to any member who has completed the following five (5) Campaigns;

Honorable Service
Science of Victory
Yamamato Isoroko
Five Epochs of the Navy
Hit Hard! Hit Fast! Hit Often!",/forums/images/awards/wows-campaign.png,/forums/images/awards/wows-campaign.png,1503,0,1,0,0
184,3,World of Warships - Sailor of the Quarter,"This award rotates every 3 months. Members are submitted based on activity, effort & merit and the NCOs vote by poll. Multiple SoQ's can be awarded but no more than 1 per Port.",/forums/images/awards/WoWS_SaileroftheQuarter.png,/forums/images/awards/WoWS_SaileroftheQuarter.png,1504,0,1,0,0
187,3,World of Warships - Fleet Admiral,"This award is for any member who has completely researched all vessels (excluding freemium/premium) for any 5 Nations. Vessels do not have to be purchased, just researched so roughly 175ish total ships. This includes BBs, CAs, DDs, SSs, and CVs",/forums/images/awards/WoWS_Fleet_Admiral.png,/forums/images/awards/WoWS_Fleet_Admiral.png,1507,0,1,0,0
188,3,World of Warships - Golden Shellback,"Member who has gone well above and beyond expectations be it recruiting, personal sacrifice, selfless service, time and/or effort. The Golden Shellback is awarded by the CO",/forums/images/awards/WoWS_Golden_Shellback.png,/forums/images/awards/WoWS_Golden_Shellback.png,1508,0,1,0,0
189,3,World of Warships - Quarterly Event 1st Place,These awards based on placement of the quarterly event,/forums/images/awards/WoWS_V-25Race_1st.png,/forums/images/awards/WoWS_V-25Race_1st.png,1509,0,1,0,0
190,3,World of Warships - Quarterly Event 2nd Place,These awards based on placement of the quarterly event,/forums/images/awards/WoWS_V-25Race_2nd.png,/forums/images/awards/WoWS_V-25Race_2nd.png,1510,0,1,0,0
191,3,World of Warships - Quarterly Event 3rd Place,These awards based on placement of the quarterly event,/forums/images/awards/WoWS_V-25Race_3rd.png,/forums/images/awards/WoWS_V-25Race_3rd.png,1511,0,1,0,0
192,3,World of Warships - Clan Battle Bosun,Awarded to the member who had the greatest impact during the Clan Battle Season per Port,/forums/images/awards/WoWS_V-25Race_Mad_Torpedoman.png,/forums/images/awards/WoWS_V-25Race_Mad_Torpedoman.png,1512,0,1,0,0
194,3,War Thunder - Squib Maverick Badge,Achieving 1250 Squadron Points in Squadron Battles.,/forums/images/awards/wt-squib-maverick.png,/forums/images/awards/wt-squib-maverick.png,1301,0,1,0,0
196,3,War Thunder - Tournament Grand Champion Badge,a member that has beaten all the semi-finalist in a Tournament,/forums/images/awards/wt-tournament-grand-champion.png,/forums/images/awards/wt-tournament-grand-champion.png,1303,0,1,0,0
202,3,Call of Duty - Royale Champion,Awarded to members who have 50 Warzone Wins,/forums/images/awards/COD_VerdanskVeteran.png,/forums/images/awards/COD_VerdanskVeteran.png,287,0,1,0,0
209,2,AOD - Bug Hunter,Awarded to members who assist with debugging and testing of clan assets and systems.,/forums/images/awards/aod-bughunter.png,/forums/images/awards/aod-bughunter.png,10,0,1,0,0
210,3,Destiny 2 - Arrivals,Awarded to guardians who earn the title of 'Forerunner',/forums/images/awards/d2-arrivals.png,/forums/images/awards/d2-arrivals.png,308,0,1,0,0
211,3,Destiny 2 - Vanguard's Dare,Awarded to guardians who accepted the challenge of completing every raid within a 24-hour period and were triumphant,/forums/images/awards/d2-vanguards-dare.png,/forums/images/awards/d2-vanguards-dare.png,307,0,1,0,0
212,3,Destiny 2 - Flawless,Awarded to guardians who earn the title of 'Flawless',/forums/images/awards/d2-flawless.png,/forums/images/awards/d2-flawless.png,309,0,1,0,0
213,3,Destiny 2 - Conqueror,Awarded to guardians who earn the title of 'Conqueror',/forums/images/awards/d2-conqueror.png,/forums/images/awards/d2-conqueror.png,310,0,1,0,0
220,3,Planetside2 - Platoon Commander Basic,Awarded to persons who have passed the Intermediate platoon leading class and have shown skill and improvement when leading AOD platoons.,/forums/images/awards/ps2-basicplatoonleading.png,/forums/images/awards/ps2-basicplatoonleading.png,804,0,1,0,0
221,3,Planetside2 - Platoon Commander Advanced,Awarded to persons who have passed the advance platoon leading class and have shown greater improvement leading and have commanded a platoon under a Force Commander during ops.,/forums/images/awards/ps2-advancedplatoonleading.png,/forums/images/awards/ps2-advancedplatoonleading.png,805,0,1,0,0
227,3,War Thunder - 10 Year Anniversary Coin,Award for being a pillar of the community or for doing something extraordinary for the war thunder division.,/forums/images/awards/wt-10th-anniv-coin.png,/forums/images/awards/wt-10th-anniv-coin.png,1309,0,1,0,0
246,3,Planetside 2 - NCO Hunter,Winner of the NCO Hunting Season event.,/forums/images/awards/ps2-ncohunter.png,/forums/images/awards/ps2-ncohunter.png,806,0,1,0,0
247,3,New World - Master Crafter,Reach 200 on all crafting trades,/forums/images/awards/nw-mastercrafter.png,/forums/images/awards/nw-mastercrafter.png,650,0,1,0,0
248,3,New World - Master Refiner,Reach 200 on all refining trades,/forums/images/awards/nw-masterrefiner.png,/forums/images/awards/nw-masterrefiner.png,651,0,1,0,0
249,3,New World - Master Gatherer,Reach 200 in all gathering trades.,/forums/images/awards/nw-mastergatherer.png,/forums/images/awards/nw-mastergatherer.png,652,0,1,0,0
250,3,New World - Hand of the Queen,Reach 200 in all trades,/forums/images/awards/nw-handofqueen.png,/forums/images/awards/nw-handofqueen.png,653,0,1,0,0
251,3,New World - Master of Arms,Level 20 on all weapons,/forums/images/awards/nw-masterofarms.png,/forums/images/awards/nw-masterofarms.png,654,0,1,0,0
252,3,New World - The Mayor,200 territory standing on any territory,/forums/images/awards/nw-mayor.png,/forums/images/awards/nw-mayor.png,655,0,1,0,0
253,3,New - World - Reaper,Part of the NW AOD Reapers,/forums/images/awards/nw-reaper.png,/forums/images/awards/nw-reaper.png,656,0,1,0,0
254,3,New World - Pathfinder,Part of the NW AOD Pathfinders,/forums/images/awards/nw-pathfinders.png,/forums/images/awards/nw-pathfinders.png,657,0,1,0,0
257,3,Planetside 2 - Guardian Angels Member,Member of AOD PlanetSide cavalry group.,/forums/images/awards/ps2-guardians.png,/forums/images/awards/ps2-guardians.png,807,0,1,0,0
258,3,Destiny 2 - Gilded,Awarded to Guardians who earn any Gilded title in the current or prior season,/forums/images/awards/d2-gilded.png,/forums/images/awards/d2-gilded.png,311,0,1,0,0
259,3,Planetside 2 - Master of Arms,For completing the master level of a weapon directive,/forums/images/awards/ps2-master-of-arms.png,/forums/images/awards/ps2-master-of-arms.png,808,0,1,0,0
269,3,Call of Duty - Most Valuable Badass,Awarded to players that scored in the top 10 during the month-long Platoon Wars event.,/forums/images/awards/cod-mostvaluablebadass.png,/forums/images/awards/cod-mostvaluablebadass.png,288,0,1,0,0
282,3,War Thunder - Maxed Out!,Has unlocked a rank 7 vehicle in war thunder.,/forums/images/awards/wt-maxed-out.png,/forums/images/awards/wt-maxed-out.png,1310,0,1,0,0
283,3,War Thunder - Professional Ass Kicker,"Has obtained the God Of War title ingame. (100,000 enemies destroyed)",/forums/images/awards/wt-professional-ass-kicker.png,/forums/images/awards/wt-professional-ass-kicker.png,1311,0,1,0,0
284,3,War Thunder - Atom Bomb Baby,Has dropped a nuke in war thunder. (screenshot needed),/forums/images/awards/wt-atom-bomb-baby.png,/forums/images/awards/wt-atom-bomb-baby.png,1312,0,1,0,0
285,3,Destiny 2 - All Hollows Eve B.W.D.G.,"Awarded Once a Year! For Guardians who obtain all the ""All Hallows Eve Seasonal Armour"" and display it terribly at the annual AOD's Halloween Party. Best Worst Dressed Guardian.",/forums/images/awards/d2-all-hallow-eve.png,/forums/images/awards/d2-all-hallow-eve.png,312,0,1,0,0
286,3,Destiny 2 - Paragon,Awarded to Guardians who reach the maximum rank in a season,/forums/images/awards/d2_rank11paragon.png,/forums/images/awards/d2_rank11paragon.png,313,0,1,0,0
287,3,Destiny 2 - Virtual Fighter,"For achieving the Destination Seal ""Virtual Fighter"" for Neomuna",/forums/images/awards/d2_virtualfigther.png,/forums/images/awards/d2_virtualfigther.png,305,0,1,0,0
288,3,Destiny 2 - Reveler,"Has completed all of the annual seasonal events and achieved the Title of ""Reveler"" in game",/forums/images/awards/d2_reveler.png,/forums/images/awards/d2_reveler.png,314,0,1,0,0
289,3,Destiny 2 - Deadeye,"For mastering all of Destiny 2's weapon archetypes and achieving the title ""Deadeye"" in game",/forums/images/awards/d2_deadeye.png,/forums/images/awards/d2_deadeye.png,315,0,1,0,0
296,3,Helldivers - Brasch Tactics,Unlock all Stratagems,/forums/images/awards/hd-brashtactics.png,/forums/images/awards/hd-brashtactics.png,501,0,1,0,0
297,3,Helldivers - Super Destroyer,Fully Upgrade all ship modules,/forums/images/awards/hd-superdestroyer.png,/forums/images/awards/hd-superdestroyer.png,502,0,1,0,0
298,3,Helldivers - Skull Admiral,Attain Level 50,/forums/images/awards/hd-skulladmiral.png,/forums/images/awards/hd-skulladmiral.png,503,0,1,0,0
299,3,Helldivers - My Life for Super Earth,Fully complete any 5 Warbonds,/forums/images/awards/hd-lifeforsuperearth.png,/forums/images/awards/hd-lifeforsuperearth.png,504,0,1,0,0
300,3,Helldivers - Liber-Tea Dispensed,"Obtain 100,000 career enemy kills",/forums/images/awards/hd-libertea.png,/forums/images/awards/hd-libertea.png,505,0,1,0,0
301,3,Helldivers - Helldivers Never Die,Complete a Helldive difficulty mission with a full AOD squad,/forums/images/awards/hd-helldiversneverdie.png,/forums/images/awards/hd-helldiversneverdie.png,506,0,1,0,0
302,3,Helldivers - Super Citizen,Awarded to the Heldiver who has won a Division Event,/forums/images/awards/hd-supercitizen.png,/forums/images/awards/hd-supercitizen.png,507,0,1,0,0
303,3,PlanetSide - Seasonal Grinder,"Awarded for completing the master level of the most recent event directive. Recipients will only retain the badge until the next event directive ends, and can be kept for completing that most recent directive.",/forums/images/awards/ps2-seasonal-grinder.png,/forums/images/awards/ps2-seasonal-grinder.png,810,0,1,0,0
